actual,predicted
0.2,0.18374762
0.67,0.318483958
0.43,0.329820935
0.12,0.153497958
0.03,0.106467885
0.14,0.185345539
0.03,0.103253268
0.55,0.407251238
0.53,0.239417083
0.15,0.100388668
0.24,0.377096541
0.08,0.125824728
0.06,0.098502317
0.09,0.1092812
0.21,0.266764917
0.3,0.165404372
0.49,0.59023576
0.07,0.09777316
0.15,0.107134023
0.03,0.115345664
0.34,0.303185852
0.69,0.590110607
0.21,0.226551372
0.63,0.243701897
0.31,0.344729485
0.12,0.141589985
0.84,0.697383425
0.1,0.10341863
0.49,0.353624343
0.02,0.087374755
0.16,0.092074981
0.19,0.227477731
0.15,0.173504879
0.31,0.410194783
0.08,0.099523712
0.24,0.339668523
0.11,0.136883709
0.22,0.216028038
0.13,0.254008173
0.07,0.113722999
0.11,0.143169917
0.06,0.129621858
0.8,0.348200237
0.22,0.284450748
0.17,0.090475355
0.16,0.136950203
0.2,0.223878247
0.12,0.204177112
0.11,0.128999936
0.12,0.151483923
0.2,0.325352234
0.68,0.388377792
0.23,0.224633198
0.05,0.095694273
0.1,0.138543111
0.28,0.335296841
0.22,0.179632496
0.22,0.213184565
0.55,0.370257662
0.05,0.118898904
0.03,0.107741778
0.07,0.218968541
0.07,0.141332018
0.57,0.357952609
0.37,0.397264711
0.14,0.112897316
0.61,0.43392048
0.03,0.126598088
0.5,0.422559618
0.05,0.122279504
0.04,0.098866507
0.21,0.137994902
0.05,0.111840488
0.02,0.087937919
0.14,0.222891239
0.18,0.165631737
0.12,0.254809112
0.68,0.574974323
0.7,0.39085204
0.75,0.31787006
0.3,0.377368962
0.24,0.24372293
1,0.244153475
0,0.102168957
0.03,0.097860684
0.06,0.121452894
0.08,0.197792508
0.1,0.13152616
0.27,0.175286043
0.15,0.178067072
0.63,0.348867468
0.05,0.209264937
0.03,0.108433028
0.12,0.105794992
0.4,0.174741637
0.37,0.187848178
0.45,0.297729199
0.04,0.107849759
0.09,0.104358657
0.09,0.20333969
0.39,0.371923504
0.02,0.140874264
0.34,0.439906658
0.28,0.314849579
0.08,0.104716095
0.44,0.540109367
0.24,0.180437171
0.09,0.108040206
0.26,0.270723933
0.4,0.449273882
0.56,0.459528007
0.05,0.103101104
0.06,0.109955873
0.2,0.237128333
0.51,0.439158318
0.04,0.000502256
0.86,0.959956704
0.05,0.095017336
0.06,0.142250089
0.68,0.579647097
0.22,0.213099186
0.05,0.128530501
0.03,0.118599377
0.09,0.140277115
0.17,0.100541318
0.17,0.11727345
0.17,0.126458861
0.14,0.272782621
0.62,0.346875801
0.03,0.082685072
0.23,0.42391355
0.15,0.107835293
0.13,0.188982656
0.27,0.172613093
0.08,0.038520876
0.06,0.11125273
0.09,0.095050207
0.16,0.223551109
0.38,0.249466628
0.02,0.105630101
0.08,0.137147556
0.09,0.103690737
0.3,0.534202572
0.05,0.118042753
0.17,0.193508521
0.53,0.407088837
1,0.673708052
0.05,0.126118858
0.63,0.530195856
1,0.422066863
0.21,0.268824915
0.86,0.545483469
0.03,0.101035363
0.26,0.096612691
0.87,0.616820032
0.44,0.540279572
0.03,0.1114158
0.73,0.507468719
0.48,0.424863685
0.06,0.125565382
0.07,0.085847124
0.03,0.144338352
0.17,0.101603254
0.11,0.101809253
0.05,0.094918457
